Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2024-06-04,0.127485,0.127557,0.12,0.12,0.100392,0.064476,0.021282,0.455,0.45501,0.41875,0.43,0.373099,0.31239,0.261956,0.71,0.71001,0.657492,0.6775,0.61002,0.558375,0.538334,1.0825,1.082513,1.021242,1.0325,0.975389,0.931051,0.927433,1.7875,1.787522,1.6975,1.7,1.66404,1.591835,1.560007
2024-06-05,0.12,0.121524,0.116249,0.117725,0.101196,0.065783,0.022146,0.42625,0.433508,0.406249,0.4185,0.375424,0.314875,0.263392,0.67125,0.682508,0.64873,0.661,0.61299,0.560785,0.539601,1.039375,1.040074,1.012403,1.015,0.978639,0.933214,0.928458,1.736875,1.747541,1.691,1.6925,1.66836,1.594722,1.56142
2024-06-06,0.117725,0.117725,0.112496,0.113245,0.101901,0.06701,0.022993,0.419375,0.420017,0.38375,0.39375,0.377524,0.316925,0.264686,0.66375,0.663763,0.61875,0.63625,0.615565,0.562685,0.540726,1.01875,1.021259,0.97875,1.0025,0.981864,0.934889,0.929371,1.74,1.74002,1.64875,1.6825,1.67273,1.596922,1.562764
2024-06-07,0.113245,0.115024,0.111231,0.114175,0.102601,0.06824,0.023845,0.39375,0.43375,0.391238,0.42375,0.380219,0.319276,0.266155,0.635,0.6825,0.628739,0.66875,0.619065,0.564798,0.542039,1.0,1.041298,0.98875,1.03625,0.985714,0.936626,0.930483,1.68125,1.721255,1.64375,1.71625,1.67678,1.598847,1.564282
2024-06-10,0.114,0.118958,0.112476,0.116555,0.10337,0.069465,0.024709,0.39875,0.43875,0.395625,0.43125,0.383119,0.321778,0.267661,0.63625,0.690122,0.633125,0.68375,0.62284,0.56721,0.54342,1.0,1.061365,0.996875,1.05625,0.989839,0.938749,0.931721,1.6825,1.751315,1.679998,1.74625,1.681295,1.601197,1.566007
2024-06-11,0.116875,0.118511,0.1125,0.115615,0.104132,0.070684,0.025569,0.43375,0.433765,0.414993,0.42375,0.385644,0.323978,0.269111,0.6875,0.68875,0.663708,0.6675,0.62594,0.569073,0.544689,1.05875,1.06003,1.0325,1.03875,0.993139,0.940336,0.932815,1.7475,1.750024,1.691,1.72375,1.68457,1.603235,1.567557
2024-06-12,0.115615,0.116335,0.109,0.11375,0.104857,0.071881,0.026418,0.42375,0.423756,0.376247,0.3875,0.387514,0.325515,0.27038,0.67375,0.67375,0.618739,0.61875,0.62814,0.570035,0.545676,1.045,1.045,0.9815,0.985,0.995439,0.940961,0.933577,1.7325,1.732514,1.672495,1.675,1.68693,1.604422,1.568789
2024-06-13,0.11375,0.11375,0.109998,0.11125,0.105522,0.073044,0.027256,0.405,0.408,0.383749,0.3925,0.389404,0.327065,0.27168,0.65125,0.65125,0.624999,0.6425,0.63069,0.571148,0.546801,1.015,1.015028,0.986245,0.995,0.997879,0.941524,0.934415,1.705,1.705013,1.6525,1.6825,1.689455,1.605347,1.570126
2024-06-14,0.11125,0.113278,0.093804,0.1005,0.105962,0.074045,0.02804,0.39625,0.396255,0.344375,0.36,0.390479,0.328503,0.272817,0.63625,0.636256,0.566245,0.5825,0.63174,0.571973,0.547632,0.99875,0.998755,0.917491,0.94,0.999054,0.941911,0.934986,1.68625,1.686266,1.5775,1.6225,1.69073,1.605935,1.571139
2024-06-17,0.1,0.102,0.0975,0.098145,0.106344,0.075001,0.028812,0.3725,0.374751,0.35875,0.36875,0.391654,0.32999,0.274005,0.6025,0.606261,0.586248,0.6025,0.63277,0.572973,0.548582,0.95875,0.962505,0.943,0.9575,1.000254,0.942399,0.935668,1.64125,1.64751,1.6245,1.64,1.69253,1.60656,1.572207
