Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2015-10-10,3.414,3.414,3.414,3.414,3.4026,3.4462,4.0878,3.1656,3.1656,3.1656,3.1656,3.1232,3.0978,3.9277
2015-10-12,3.414,3.414,3.414,3.414,3.403,3.4379,4.0815,3.173,3.173,3.173,3.173,3.1233,3.0963,3.9192
2015-10-13,3.413,3.413,3.413,3.413,3.4034,3.4304,4.0752,3.1825,3.1825,3.1825,3.1825,3.1237,3.0961,3.9101
2015-10-14,3.414,3.414,3.414,3.414,3.4038,3.4234,4.0688,3.186,3.186,3.186,3.186,3.1241,3.0964,3.9005
2015-10-15,3.415,3.415,3.415,3.415,3.4043,3.4173,4.0624,3.1846,3.1846,3.1846,3.1846,3.1246,3.0976,3.8906
2015-10-16,3.415,3.415,3.415,3.415,3.4047,3.4119,4.056,3.1826,3.1826,3.1826,3.1826,3.1251,3.0993,3.8807
2015-10-19,3.416,3.416,3.416,3.416,3.4052,3.4074,4.0495,3.1783,3.1783,3.1783,3.1783,3.1256,3.1015,3.8708
2015-10-20,3.418,3.418,3.418,3.418,3.4057,3.4047,4.0431,3.175,3.175,3.175,3.175,3.1261,3.1042,3.8609
2015-10-21,3.419,3.419,3.419,3.419,3.4062,3.4031,4.0366,3.169,3.169,3.169,3.169,3.1267,3.1071,3.8511
2015-10-22,3.418,3.418,3.418,3.418,3.4067,3.4022,4.0301,3.157,3.157,3.157,3.157,3.1271,3.1099,3.8412
2015-10-23,3.418,3.418,3.418,3.418,3.4072,3.4018,4.0235,3.144,3.144,3.144,3.144,3.1274,3.1127,3.8312
2015-10-26,3.392,3.392,3.392,3.392,3.4072,3.4012,4.0168,3.084,3.084,3.084,3.084,3.1266,3.1149,3.8209
2015-10-27,3.384,3.384,3.384,3.384,3.407,3.4008,4.01,3.047,3.047,3.047,3.047,3.1252,3.1168,3.8105
2015-10-28,3.371,3.371,3.371,3.371,3.4066,3.4003,4.0031,3.038,3.038,3.038,3.038,3.1237,3.1186,3.8004
2015-10-29,3.364,3.364,3.364,3.364,3.406,3.3999,3.9962,3.036,3.036,3.036,3.036,3.1224,3.1202,3.7904
2015-10-30,3.3575,3.3575,3.3575,3.3575,3.4053,3.3994,3.9893,3.036,3.036,3.036,3.036,3.1212,3.1218,3.7808
2015-11-02,3.355,3.355,3.355,3.355,3.4045,3.399,3.9823,3.042,3.042,3.042,3.042,3.1202,3.1233,3.7714
2015-11-03,3.354,3.354,3.354,3.354,3.4037,3.3985,3.9753,3.0425,3.0425,3.0425,3.0425,3.1192,3.1249,3.7621
2015-11-04,3.351,3.351,3.351,3.351,3.4029,3.398,3.9683,3.0415,3.0415,3.0415,3.0415,3.1182,3.1263,3.7527
2015-11-05,3.35,3.35,3.35,3.35,3.402,3.3975,3.9613,3.0405,3.0405,3.0405,3.0405,3.1171,3.1277,3.7435
2015-11-06,3.35,3.35,3.35,3.35,3.401,3.397,3.9543,3.0355,3.0355,3.0355,3.0355,3.116,3.129,3.7342
2015-11-09,3.35,3.35,3.35,3.35,3.4,3.3965,3.9473,3.033,3.033,3.033,3.033,3.1149,3.1301,3.7249
2015-11-10,3.351,3.351,3.351,3.351,3.399,3.396,3.9403,3.034,3.034,3.034,3.034,3.1137,3.1308,3.7156
2015-11-11,3.35,3.35,3.35,3.35,3.398,3.3955,3.9332,3.034,3.034,3.034,3.034,3.1125,3.1313,3.7063
2015-11-12,3.35,3.35,3.35,3.35,3.397,3.395,3.9261,3.034,3.034,3.034,3.034,3.1112,3.1317,3.6969
2015-11-13,3.3508,3.3508,3.3508,3.3508,3.396,3.3946,3.919,3.034,3.034,3.034,3.034,3.11,3.1315,3.6876
2015-11-16,3.3508,3.3508,3.3508,3.3508,3.395,3.3941,3.9119,3.038,3.038,3.038,3.038,3.1087,3.1308,3.6783
2015-11-17,3.35,3.35,3.35,3.35,3.3939,3.3936,3.9048,3.04,3.04,3.04,3.04,3.1075,3.1295,3.669
2015-11-18,3.35,3.35,3.35,3.35,3.3929,3.3931,3.8976,3.0441,3.0441,3.0441,3.0441,3.1063,3.1278,3.6598
2015-11-19,3.35,3.35,3.35,3.35,3.3919,3.3926,3.8905,3.044,3.044,3.044,3.044,3.1051,3.1258,3.6505
2015-11-20,3.35,3.35,3.35,3.35,3.3909,3.3921,3.8834,3.044,3.044,3.044,3.044,3.104,3.1234,3.6412
2015-11-23,3.3503,3.3503,3.3503,3.3503,3.3897,3.3916,3.8762,3.046,3.046,3.046,3.046,3.103,3.1214,3.6318
